,delta,nodes_cc,length_cc,i,j,d_ij_b,d_ij_s
81,45304.4810622957,9225.0,489.6953680000008,1376686105,284226244,0.3032961889676252,0.5625223079036187
82,46247.527119732375,9244.0,490.5883790000008,280685347,280720687,0.3032961889676252,0.5625223079036187
83,46773.58049118446,9263.0,491.401910000001,5525202281,2682126327,0.3032961889676252,0.5625223079036187
84,46855.666353733104,9281.0,491.74707000000086,680055547,268872833,0.3032961889676252,0.5625223079036187
85,46905.58500156232,9299.0,494.24874400000084,3307988919,687632187,0.3032961889676252,0.5625223079036187
86,47024.61847032003,9317.0,496.6525500000008,415597115,3092858679,0.3032961889676252,0.5625223079036187
87,47072.92687664829,9334.0,497.17478400000084,32015039,158440299,0.3032961889676252,0.5625223079036187
88,47092.36463168494,9351.0,497.62601600000085,5307086526,5307086527,0.3032972908768,0.5625223079036187
89,47313.91943898025,9368.0,497.90898100000084,268258426,268275508,0.3032972908768,0.5625223079036187
90,47540.90298842808,9385.0,498.0743890000005,280724216,280724055,0.3032972908768,0.5625223079036187
91,47571.048147955116,9401.0,498.36060100000054,2780948484,3742685666,0.3032972908768,0.5625223079036187
92,47853.13733233554,9417.0,500.0842670000007,3052626063,154480337,0.3032972908768,0.5625223079036187
93,48322.08724178822,9433.0,501.1324990000005,727666039,288169940,0.3032972908768,0.5625223079036187
94,48439.695549138865,9448.0,501.73690300000084,78101531,78102898,0.3032972908768,0.5625223079036187
95,48645.14530625008,9463.0,502.1969010000008,3184283299,269190173,0.3032972908768,0.5625223079036187
96,48944.4831162849,9478.0,502.7406350000007,960438830,318627748,0.3032972908768,0.5625223079036187
97,48951.59570347541,9493.0,502.8503850000007,356458550,4606994900,0.3032972908768,0.5625223079036187
98,49147.76906877594,9508.0,503.2545170000006,1356382781,4951829578,0.3032972908768,0.5625223079036187
99,49160.49357429992,9522.0,504.4211000000006,27341922,1841436301,0.3084502332431293,0.5625223079036187
100,50274.18808766188,9536.0,505.3315400000006,549482641,32020618,0.3099357910230867,0.5625223079036187
101,50484.5661473921,9550.0,506.09221400000087,262770756,244935692,0.3099357910230867,0.5625223079036187
102,50510.847328606775,9564.0,506.27037600000085,263275050,1813149941,0.31534461746978526,0.5625223079036187
103,51906.65415882124,9578.0,506.86048000000085,5600802959,280550322,0.31534461746978526,0.5625223079036187
104,51916.34999623741,9592.0,508.0944650000007,280309782,2331715725,0.31534461746978526,0.5625223079036187
105,52487.97601904543,9605.0,508.30038800000085,2798387296,101486749,0.31534461746978526,0.5625223079036187
106,52499.066258879386,9618.0,508.67618000000084,268151975,4787109226,0.31534461746978526,0.5625223079036187
107,53424.303148795065,9631.0,510.4559580000007,2938148161,500686568,0.31534461746978526,0.5625223079036187
108,57047.29111764492,9644.0,511.07852800000086,514860901,539330068,0.31534461746978526,0.5625223079036187
109,57743.432743723766,9657.0,512.9271140000009,948494273,1706274874,0.31622585820294513,0.5625223079036187
110,58272.724802236335,9670.0,514.244448000001,101486461,1386008270,0.31622585820294513,0.5625223079036187
111,58739.64415112378,9682.0,515.174230000001,595759218,56971101,0.31622585820294513,0.5625223079036187
112,58789.70528485414,9694.0,515.7073270000009,262771043,2643842893,0.31622585820294513,0.5625223079036187
113,58810.30333111161,9706.0,516.1293650000008,321803397,283703246,0.31622585820294513,0.5625223079036187
114,58945.54362002832,9718.0,516.7056680000009,1664494363,3304190483,0.31908121070812046,0.5625223079036187
115,59442.70547303145,9730.0,518.412636000001,539330078,539358281,0.3246137917827305,0.5625223079036187
116,59474.96279909912,9742.0,518.9752940000009,753978855,735742789,0.3246137917827305,0.5625223079036187
117,59628.925008414124,9754.0,519.5871670000008,1403765372,1639945495,0.3296083332216322,0.5625223079036187
118,59754.21816133607,9766.0,519.636194000001,74957656,3371451329,0.3296083332216322,0.5625223079036187
119,60661.53650976817,9777.0,520.0557620000011,948494055,26883777,0.3296083332216322,0.5625223079036187
120,60858.13257220287,9788.0,520.7916660000011,285428777,2806879890,0.3296083332216322,0.5625223079036187
121,60910.51539886494,9799.0,521.5072110000012,84699052,262679687,0.3312758375106675,0.5625223079036187
122,61065.5231140624,9810.0,522.5384930000013,4953204371,280453271,0.33607557838050073,0.5625223079036187
123,62190.58428684277,9821.0,522.8270910000012,4459032535,285889557,0.33607557838050073,0.5625223079036187
124,63416.213009249375,9832.0,523.1343970000013,457134969,1398989728,0.33607557838050073,0.5625223079036187
125,63471.15021553957,9843.0,523.9416170000012,3034026608,3131738380,0.33607557838050073,0.5625223079036187
126,63595.98990407523,9853.0,524.3957570000013,5895594120,595790433,0.33607557838050073,0.5625223079036187
127,63621.914751337536,9863.0,524.6574440000014,3623090541,88118725,0.33607557838050073,0.5625223079036187
128,64227.681824462226,9873.0,525.9408180000014,2037362389,441308801,0.33607557838050073,0.5625223079036187
129,64577.510941716464,9883.0,526.5889940000009,3052626063,471868223,0.33607557838050073,0.5625223079036187
130,65401.875106022635,9893.0,526.7367560000008,1664494349,3037356180,0.33607557838050073,0.5625223079036187
131,66031.57468871922,9902.0,527.6967380000009,1673504550,1251658328,0.33607557838050073,0.5625223079036187
132,66179.61135009403,9911.0,528.1183780000008,3784109338,97014490,0.33607557838050073,0.5625223079036187
133,66291.96356244272,9920.0,528.3216240000006,244939361,262685657,0.33607557838050073,0.5625223079036187
134,66991.70780636759,9929.0,529.9465540000008,3254644804,291726855,0.33607557838050073,0.5625223079036187
135,67105.09699624086,9938.0,530.1660990000013,2672513949,2672513932,0.33607557838050073,0.5625223079036187
136,67118.06272400447,9947.0,530.3858390000012,260190333,171477249,0.33607557838050073,0.5625223079036187
137,67602.37717455684,9956.0,530.5720140000013,1698441514,1315026769,0.33607557838050073,0.5625223079036187
138,67711.73857728022,9965.0,530.8081060000013,3932868312,244946378,0.33607557838050073,0.5625223079036187
139,67848.25099281633,9974.0,531.2236720000011,5366583183,268583161,0.336734496024664,0.5625223079036187
140,67987.12196587486,9983.0,531.6980620000007,280228274,280228344,0.336734496024664,0.5625223079036187
141,68307.8583962318,9992.0,532.2434710000007,514860901,514542005,0.336734496024664,0.5625223079036187
142,68317.53166758834,10001.0,532.3861390000002,3335903731,3335903733,0.336734496024664,0.5625223079036187
143,68426.32339164747,10010.0,532.6700130000004,1177371349,2750906346,0.336734496024664,0.5625223079036187
144,68496.86787158929,10018.0,532.9589580000007,1106811107,27036935,0.336734496024664,0.5625223079036187
145,69014.18859115751,10026.0,533.3966720000004,687206948,278480948,0.336734496024664,0.5625223079036187
146,69255.40418074172,10034.0,533.7014670000002,541152345,322667282,0.33869283753825113,0.5625223079036187
147,69269.89678770017,10042.0,534.5224029999998,5525202281,5525202282,0.33869283753825113,0.5625223079036187
148,69470.95877824935,10050.0,534.6815189999999,288169940,727635283,0.33869283753825113,0.5625223079036187
149,69551.7986891454,10057.0,535.4173750000001,1251658328,1389253118,0.33869283753825113,0.5625223079036187
150,69863.32949262488,10064.0,536.0462700000005,3693600664,97018915,0.33869283753825113,0.5625223079036187
151,69894.86030769549,10071.0,536.1245080000003,277253484,78063222,0.33869283753825113,0.5625223079036187
152,69970.642299143,10078.0,536.8613050000006,595658286,171443342,0.3398312597899567,0.5625223079036187
153,70577.82644122686,10085.0,537.0638590000003,3111093464,96986235,0.3398312597899567,0.5625223079036187
154,70619.12417309503,10092.0,537.4100860000002,4774674060,132813203,0.3398312597899567,0.5625223079036187
155,70804.14373663496,10099.0,537.8121160000002,35500843,280158945,0.3414891184613771,0.5625223079036187
156,70857.02250354768,10106.0,538.0238330000002,171443342,272910842,0.3414891184613771,0.5625223079036187
157,70892.89267674863,10113.0,538.0976960000004,4951829590,280453262,0.3414891184613771,0.5625223079036187
158,70940.72443314361,10120.0,539.087434,1944975144,1051631308,0.3414891184613771,0.5625223079036187
159,70972.65814784815,10126.0,539.5447340000004,421427615,421427612,0.3414891184613771,0.5625223079036187
160,71237.04365197978,10132.0,539.7995060000003,3979912500,4069922750,0.3414891184613771,0.5625223079036187
161,71507.40778779512,10138.0,540.0706070000003,595759218,260457678,0.3414891184613771,0.5625223079036187
162,71634.49767911999,10144.0,540.5155870000007,260658391,260692297,0.3414891184613771,0.5625223079036187
163,71672.45864307914,10150.0,540.7788750000005,268282328,268282366,0.3414891184613771,0.5625223079036187
164,71949.81130835929,10156.0,541.8010690000001,281204775,3038403034,0.3414891184613771,0.5625223079036187
165,72017.52382254055,10162.0,541.8784730000009,2702189004,277032531,0.3414891184613771,0.5625223079036187
166,72119.24020334326,10168.0,542.0343150000007,36689155,277888656,0.3414891184613771,0.5625223079036187
167,72141.59201426327,10174.0,542.3413630000007,1247360098,990473692,0.3414891184613771,0.5625223079036187
168,72517.82034574711,10180.0,544.1825290000012,1737619910,1737619908,0.3414891184613771,0.5625223079036187
169,72549.78724645915,10186.0,544.3731110000011,3024398524,3024398525,0.3414891184613771,0.5625223079036187
170,72776.33127397537,10192.0,544.5269980000012,1285886769,3605192262,0.3414891184613771,0.5625223079036187
171,73061.21484604078,10198.0,544.9436760000013,26884528,1935675301,0.3414891184613771,0.5625223079036187
172,73230.40623263022,10204.0,545.4468380000009,1935675301,1737619937,0.3414891184613771,0.5625223079036187
