,delta,nodes_cc,length_cc,i,j,d_ij_b,d_ij_s
0,0.0,0.0,0.0,0,0,0.009748992617848912,0.53455015484984
1,0.0,1595.0,81.88395900000017,0,0,0.009748992617848912,0.53455015484984
2,88.88862105745758,2378.0,106.58612200000034,221589211,221589213,0.009748992617848912,0.53455015484984
3,284.14172320864105,2378.0,106.58612200000034,27036931,529036599,0.009748992617848912,0.53455015484984
4,286.9431584807649,2378.0,106.58612200000034,288825222,3595777340,0.014206684454334826,0.53455015484984
5,395.73488253990087,2941.0,137.0319890000001,2750906346,1177371349,0.014206684454334826,0.53455015484984
6,407.68325384421996,2941.0,137.0319890000001,286244671,286279696,0.014206684454334826,0.53455015484984
7,468.93509470120796,2941.0,137.0319890000001,3989890564,3989890565,0.014206684454334826,0.53455015484984
8,607.8060677597226,2941.0,137.0319890000001,280228344,280228274,0.014206684454334826,0.53455015484984
9,639.3368828303278,2941.0,137.0319890000001,78063222,277253484,0.014206684454334826,0.53455015484984
10,741.053263633034,2941.0,137.0319890000001,277888656,36689155,0.014206684454334826,0.53455015484984
11,1506.0551877356006,2941.0,137.0319890000001,2379476677,152920341,0.014206684454334826,0.53455015484984
12,1513.9614735113119,2941.0,137.0319890000001,3184360752,2440711784,0.014206684454334826,0.53455015484984
13,1715.0234640605054,2941.0,137.0319890000001,288169940,727635283,0.014206684454334826,0.53455015484984
14,2292.223324495212,2941.0,137.0319890000001,2384170117,1318819039,0.014206684454334826,0.53455015484984
15,2299.335911685718,2941.0,137.0319890000001,4606994900,356458550,0.014206684454334826,0.53455015484984
16,2365.030395306055,2941.0,137.0319890000001,2393710635,495375895,0.014206684454334826,0.53455015484984
17,2409.2105225641485,2945.0,137.09645200000008,421435610,78309501,0.014206684454334826,0.53455015484984
18,2415.9348706530677,2945.0,137.09645200000008,3313267870,3311070386,0.014206684454334826,0.53455015484984
19,2428.900598416676,2984.0,138.38226000000014,171477249,260190333,0.014206684454334826,0.53455015484984
20,2448.059334343317,2993.0,138.60200000000015,1673435960,1673435961,0.014206684454334826,0.53455015484984
21,2496.367740671573,2993.0,138.60200000000015,32015039,158440299,0.014206684454334826,0.53455015484984
22,2510.860347630009,2993.0,138.60200000000015,5525202282,5525202281,0.014206684454334826,0.53455015484984
23,2532.1149233595866,2993.0,138.60200000000015,3742685666,59770750,0.014206684454334826,0.53455015484984
24,2545.160558013947,2993.0,138.60200000000015,1315098133,1315098125,0.014206684454334826,0.53455015484984
25,3114.6945841003608,3052.0,139.7502990000003,540459344,4728258822,0.014206684454334826,0.53455015484984
26,3215.132128314,3052.0,139.7502990000003,262075672,171487734,0.014206684454334826,0.53455015484984
27,3473.8338214126597,3057.0,139.99344100000022,3111093436,288980282,0.014206684454334826,0.53455015484984
28,3556.824234869452,3057.0,139.99344100000022,3033970995,496220847,0.014206684454334826,0.53455015484984
29,3712.230024708623,3057.0,139.99344100000022,1610511421,1609885961,0.014206684454334826,0.53455015484984
30,3807.063724892355,3057.0,139.99344100000022,726553273,262999132,0.014206684454334826,0.53455015484984
31,4732.300614808032,3057.0,139.99344100000022,500686568,2938148161,0.014206684454334826,0.53455015484984
32,4793.551978743337,3057.0,139.99344100000022,2270321992,3037356180,0.014206684454334826,0.53455015484984
33,4911.556767023873,3057.0,139.99344100000022,282181532,282180921,0.014206684454334826,0.53455015484984
34,4959.018269454527,3057.0,139.99344100000022,2146370230,1664494584,0.014206684454334826,0.53455015484984
35,4978.456024491179,3057.0,139.99344100000022,5307086527,5307086526,0.014206684454334826,0.53455015484984
36,5047.844695371479,3057.0,139.99344100000022,268930889,3325126119,0.014206684454334826,0.53455015484984
37,5054.268259977045,3057.0,139.99344100000022,1387278508,235811315,0.014206684454334826,0.53455015484984
38,5138.080525499123,3057.0,139.99344100000022,2498370087,2498370088,0.014206684454334826,0.53455015484984
39,5250.432737847814,3057.0,139.99344100000022,262685657,244939361,0.014206684454334826,0.53455015484984
40,5642.24327619787,3057.0,139.99344100000022,1851782241,1851782326,0.014206684454334826,0.53455015484984
41,5845.35528909467,3057.0,139.99344100000022,150641150,2379476569,0.014206684454334826,0.53455015484984
42,6041.528654395196,3057.0,139.99344100000022,1356382781,4951829578,0.014206684454334826,0.53455015484984
43,6137.070344473384,3057.0,139.99344100000022,2333420879,3441639921,0.014206684454334826,0.53455015484984
44,6144.36876970357,3057.0,139.99344100000022,683048919,3037892651,0.014206684454334826,0.53455015484984
45,6302.306186996794,3057.0,139.99344100000022,418353336,687632175,0.014206684454334826,0.53455015484984
46,6326.066324032458,3057.0,139.99344100000022,2757253997,2291377330,0.014206684454334826,0.53455015484984
47,6361.936497233421,3057.0,139.99344100000022,4951829590,280453262,0.014206684454334826,0.53455015484984
48,6699.748679945398,3057.0,139.99344100000022,5592204964,296203156,0.014206684454334826,0.53455015484984
49,6778.1281453143165,3057.0,139.99344100000022,3072743772,3072743769,0.014206684454334826,0.53455015484984
50,8003.756867720905,3057.0,139.99344100000022,1398989728,457134969,0.014206684454334826,0.53455015484984
51,8140.269283257012,3057.0,139.99344100000022,268583161,5366583183,0.014206684454334826,0.53455015484984
52,8145.190069535254,3066.0,140.40900700000032,839671022,2780948484,0.014206684454334826,0.53455015484984
53,8197.776728591236,3066.0,140.40900700000032,50572365,4280090580,0.014206684454334826,0.53455015484984
54,8215.002720668166,3069.0,140.6257010000003,1942848394,1942848395,0.014206684454334826,0.53455015484984
55,8411.598783102869,3069.0,140.6257010000003,285428777,2806879890,0.014206684454334826,0.53455015484984
