,delta,nodes_cc,length_cc,i,j,d_ij_b,d_ij_s
0,0.0,0.0,0.0,0,0,0.03391204393465284,0.5479919003714232
1,0.0,1595.0,81.88395900000017,0,0,0.03391204393465284,0.5479919003714232
2,2.671061833589289,2378.0,106.58612200000034,1447714867,297782179,0.03391204393465284,0.5479919003714232
3,5.472497105713165,2378.0,106.58612200000034,3595777340,288825222,0.039087913107449544,0.5479919003714232
4,10.186070914237195,2941.0,137.0319890000001,3684810753,3684810754,0.039087913107449544,0.5479919003714232
5,15.10685719247911,2944.0,137.0541770000001,2780948484,839671022,0.039087913107449544,0.5479919003714232
6,20.04850758633978,2944.0,137.0541770000001,1678340951,3479887559,0.04552405658467221,0.5479919003714232
7,26.47207219190531,2947.0,137.2166250000001,1387278508,235811315,0.04552405658467221,0.5479919003714232
8,33.038711119754936,2947.0,137.2166250000001,5117696611,262671593,0.04552405658467221,0.5479919003714232
9,39.76305920867407,2972.0,137.65802000000016,3311070386,3313267870,0.04552405658467221,0.5479919003714232
10,46.87564639918038,3011.0,138.94382800000022,356458550,4606994900,0.04552405658467221,0.5479919003714232
11,54.174071629366786,3011.0,138.94382800000022,3037892651,683048919,0.04552405658467221,0.5479919003714232
12,62.08035740507793,3011.0,138.94382800000022,2440711784,3184360752,0.04552405658467221,0.5479919003714232
13,71.01943787014845,3011.0,138.94382800000022,4053340058,4053340059,0.04552405658467221,0.5479919003714232
14,80.69270922668507,3011.0,138.94382800000022,3335903731,3335903733,0.04552405658467221,0.5479919003714232
15,90.38854664286129,3011.0,138.94382800000022,280309782,2331715725,0.04552405658467221,0.5479919003714232
16,101.31582048880108,3011.0,138.94382800000022,5341759388,343458167,0.04552405658467221,0.5479919003714232
17,112.25765887215614,3011.0,138.94382800000022,5075368686,5075368695,0.04552405658467221,0.5479919003714232
18,123.34789870611615,3011.0,138.94382800000022,268151975,4787109226,0.04552405658467221,0.5479919003714232
19,135.1897306693216,3011.0,138.94382800000022,2763925781,1639945451,0.04552405658467221,0.5479919003714232
20,147.046025941948,3011.0,138.94382800000022,260098770,260184926,0.05227435202210211,0.5479919003714232
21,158.99439724626694,3466.0,166.9873730000001,286279696,286244671,0.05227435202210211,0.5479919003714232
22,171.71890277025062,3466.0,166.9873730000001,27341922,1841436301,0.05227435202210211,0.5479919003714232
23,184.68463053385844,3466.0,166.9873730000001,260190333,171477249,0.05227435202210211,0.5479919003714232
24,197.7302651882182,3475.0,167.20711300000013,1315098125,1315098133,0.05227435202210211,0.5479919003714232
25,210.8078922543877,3534.0,168.3554120000001,263002790,688953675,0.05227435202210211,0.5479919003714232
26,225.3004992128234,3534.0,168.3554120000001,5525202281,5525202282,0.05227435202210211,0.5479919003714232
27,239.9468237560616,3534.0,168.3554120000001,5678221278,4053372926,0.05227435202210211,0.5479919003714232
28,254.91414882436987,3681.0,174.8328400000001,56672809,317182758,0.05227435202210211,0.5479919003714232
29,270.1812434966107,3681.0,174.8328400000001,1110663314,262999131,0.05227435202210211,0.5479919003714232
30,287.09982671186236,3681.0,174.8328400000001,2973806358,4509216186,0.05795343595410504,0.5479919003714232
31,304.325818788793,3715.0,176.29135599999984,1942848394,1942848395,0.05795343595410504,0.5479919003714232
32,321.88127162460387,3715.0,176.29135599999984,2172158042,4228905498,0.05795343595410504,0.5479919003714232
33,340.2062379677331,3862.0,181.65401300000016,638352436,638352435,0.05795343595410504,0.5479919003714232
34,359.30025611677775,3862.0,181.65401300000016,263005284,177512901,0.05795343595410504,0.5479919003714232
35,378.4589920434187,3862.0,181.65401300000016,1673435960,1673435961,0.05795343595410504,0.5479919003714232
36,397.8967470800708,3862.0,181.65401300000016,5307086526,5307086527,0.05795343595410504,0.5479919003714232
37,417.695849098584,3862.0,181.65401300000016,268395123,3184661899,0.05795343595410504,0.5479919003714232
38,438.2938953560498,3862.0,181.65401300000016,321803397,283703246,0.05795343595410504,0.5479919003714232
39,459.548471085627,3862.0,181.65401300000016,59770750,3742685666,0.05795343595410504,0.5479919003714232
40,480.9633315797068,3862.0,181.65401300000016,1285886896,509441359,0.07022116567999671,0.5479919003714232
41,503.3151424997192,4231.0,203.0031209999993,1247360098,990473692,0.07022116567999671,0.5479919003714232
42,527.055433654019,4231.0,203.0031209999993,3979912500,3979912501,0.07022116567999671,0.5479919003714232
43,550.8155706896813,4231.0,203.0031209999993,2291377330,2757253997,0.07022116567999671,0.5479919003714232
44,576.4211903586672,4231.0,203.0031209999993,3048895510,3048895511,0.07022116567999671,0.5479919003714232
45,602.2036555870318,4231.0,203.0031209999993,5051993545,146995440,0.07022116567999671,0.5479919003714232
46,628.1285028493513,4287.0,209.5799329999993,3623090541,88118725,0.07022116567999671,0.5479919003714232
47,654.178476200412,4297.0,209.84161999999927,3073005249,262770850,0.07022116567999671,0.5479919003714232
48,680.4596574150826,4297.0,209.84161999999927,263275050,1813149941,0.07022116567999671,0.5479919003714232
49,706.828958819375,4297.0,209.84161999999927,1737619942,2006361188,0.07022116567999671,0.5479919003714232
50,735.8395973732735,4297.0,209.84161999999927,370017311,1178769888,0.08231439392874965,0.5479919003714232
51,767.3704124438786,4678.0,219.62206099999938,277253484,78063222,0.08231439392874965,0.5479919003714232
52,799.3041271484218,4678.0,219.62206099999938,421427615,421427612,0.08231439392874965,0.5479919003714232
53,831.2710278604562,4678.0,219.62206099999938,3024398524,3024398525,0.08231439392874965,0.5479919003714232
54,863.5283539281177,4678.0,219.62206099999938,753978855,735742789,0.08231439392874965,0.5479919003714232
